Temperature,Resistivity,Seebeck,Thermal Conductivity,zT,max Red efficiency,s,u,Red efficiency,Phi,efficiency,ZT
300,0.71,106,2.52,0.188397049,0.043124582,2.834473348,2.782486743,0.043111255,0.391190751,,
325,0.75,119,2.29,0.267966521,0.059284013,3.258957858,2.824009113,0.058332008,0.392781506,0.004049974,0.22517529
350,0.81,131,2.088,0.355136346,0.075829671,3.579132759,2.866552099,0.073173088,0.394701151,0.008893818,0.261793053
375,0.9,142,1.938,0.433522532,0.089791194,3.705127004,2.910102788,0.086211712,0.396880474,0.014336112,0.297293041
400,1.01,154,1.792,0.524133663,0.104968444,3.807761108,2.961338169,0.100581894,0.399285176,0.02027229,0.332705179
425,1.14,166,1.681,0.611128505,0.118671876,3.817184544,3.01792945,0.114382422,0.401903008,0.026653836,0.368895275
450,1.28,178,1.569,0.709936663,0.133315741,3.84076736,3.080533066,0.129126255,0.404719142,0.033426615,0.406029564
475,1.43,191,1.485,0.816014457,0.148064588,3.831312276,3.154457924,0.144471714,0.407736678,0.040579933,0.444697375
500,1.59,205,1.398,0.945308212,0.164837334,3.851151835,3.241825091,0.161740079,0.410968215,0.048124073,0.485529301
525,1.74,219,1.332,1.086410764,0.18181714,3.865547579,3.339480688,0.179383972,0.414422757,0.056058711,0.528885798
550,1.9,229,1.263,1.201923157,0.194810668,3.841904342,3.423519814,0.19319641,0.418047039,0.064242263,0.573457434
575,2.06,239,1.213,1.314424439,0.206765734,3.793511025,3.516567519,0.206022784,0.421793207,0.072553222,0.618326366
600,2.22,247,1.164,1.41657379,0.217078126,3.741790169,3.604576743,0.216887857,0.425625082,0.080902966,0.662969373
625,2.37,254,1.131,1.50430708,0.22555671,3.669292991,3.693371911,0.225550587,0.429505295,0.08920622,0.706862862
650,2.52,258,1.091,1.573720047,0.232033948,3.603349943,3.763830163,0.231751801,0.433386802,0.097363489,0.749284275
675,2.66,262,1.072,1.624912327,0.236687288,3.506689952,3.840414976,0.235410669,0.437238527,0.105315002,0.789889564
700,2.8,266,1.042,1.697600768,0.243123048,3.450254818,3.923812683,0.240476562,0.441054164,0.113055078,0.828846708
725,2.94,269,1.03,1.732439238,0.246139048,3.348335579,4.003466858,0.240847657,0.444808509,0.120541215,0.865877965
750,3.08,269,1.019,1.729182863,0.245858975,3.231840738,4.053864941,0.237109274,0.448428174,0.127640113,0.899724971
775,3.24,268,1.011,1.699319828,0.243272892,3.095622001,4.095528925,0.229557925,0.451868707,0.13428227,0.929779276
800,3.42,268,1.008,1.666759491,0.240416405,2.952526041,4.154509174,0.21934252,0.455102321,0.140433408,0.955780022
